07:23:04.600 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Generation no: 5
07:23:04.799 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 10
07:23:06.207 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=23, nrFitIndividuals=98, tournamentSize=83, seed=3006, hiddenDimSize=19, mutationProb=0.2085860131942846, populationSize=915}
07:23:06.447 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 7
07:23:06.583 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 14
07:23:06.673 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 15
07:23:06.964 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 1
07:23:08.661 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Generation no: 6
07:23:08.661 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | Fittest: 43641.0
07:23:08.662 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | GOING TO WRITE... writing file
07:23:08.662 [Thread-16] INFO  algoGenetico.PopulationEvo - Thread: Thread-16 | WROTE Fittest: 43641.0
07:23:09.229 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 13
07:23:09.276 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 10
07:23:09.421 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 8
07:23:10.163 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 16
07:23:11.388 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 15
07:23:13.068 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 11
07:23:13.308 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 17
07:23:14.431 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 11
07:23:15.058 [Thread-15] INFO  algoGenetico.PopulationEvo - Thread: Thread-15 | Generation no: 2
07:23:15.257 [Thread-11] INFO  algoGenetico.PopulationEvo - Thread: Thread-11 | Generation no: 7
07:23:15.361 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 1
07:23:16.082 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 16
07:23:16.366 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 18
07:23:16.790 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 2
07:23:17.250 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 9
07:23:18.233 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 8
07:23:18.506 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=54, nrFitIndividuals=220, tournamentSize=120, seed=4342, hiddenDimSize=46, mutationProb=0.45821082262000035, populationSize=871}
07:23:18.527 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 14
07:23:19.652 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 19
07:23:19.831 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 12
07:23:20.871 [Thread-14] INFO  algoGenetico.PopulationEvo - Thread: Thread-14 | Generation no: 3
07:23:20.944 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 17
07:23:21.357 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 12
07:23:23.042 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 20
07:23:25.300 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 10
07:23:25.449 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 13
07:23:26.004 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 18
07:23:26.458 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 21
07:23:27.633 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=95, nrFitIndividuals=350, tournamentSize=90, seed=1955, hiddenDimSize=48, mutationProb=0.44232959056331655, populationSize=925}
