14:34:00.257 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 6 | Alien X: 155 | Alien Y: 5
14:34:00.257 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -12 | Alien X: 173 | Alien Y: 5
14:34:00.258 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -30 | Alien X: 191 | Alien Y: 5
14:34:00.258 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -48 | Alien X: 209 | Alien Y: 5
14:34:00.258 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -66 | Alien X: 227 | Alien Y: 5
14:34:00.258 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 24 | Alien X: 137 | Alien Y: 23
14:34:00.258 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 6 | Alien X: 155 | Alien Y: 23
14:34:00.258 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -12 | Alien X: 173 | Alien Y: 23
14:34:00.259 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -30 | Alien X: 191 | Alien Y: 23
14:34:00.259 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -48 | Alien X: 209 | Alien Y: 23
14:34:00.259 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -66 | Alien X: 227 | Alien Y: 23
14:34:00.259 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 24 | Alien X: 137 | Alien Y: 41
14:34:00.259 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 6 | Alien X: 155 | Alien Y: 41
14:34:00.259 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -12 | Alien X: 173 | Alien Y: 41
14:34:00.260 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -30 | Alien X: 191 | Alien Y: 41
14:34:00.260 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -48 | Alien X: 209 | Alien Y: 41
14:34:00.260 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -66 | Alien X: 227 | Alien Y: 41
14:34:00.272 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 25 | Alien X: 136 | Alien Y: 5
14:34:00.273 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 7 | Alien X: 154 | Alien Y: 5
14:34:00.273 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -11 | Alien X: 172 | Alien Y: 5
